datetime,open,high,low,close,volume,is_min,is_max
2020-06-04 17:00:00,80.62625,80.9825,80.6125,80.9125,1229864,0,0
2020-06-04 18:00:00,80.90535,80.96,80.2175,80.2175,1995660,0,0
2020-06-04 19:00:00,80.22125,80.59,80.2025,80.58,5944868,0,0
2020-06-05 13:00:00,80.8625,82.0,80.815,81.695,1845740,0,0
2020-06-05 13:30:00,80.8625,82.0,80.815,81.66,2784732,0,0
2020-06-05 14:00:00,81.705,82.0,81.43,81.98755,2471516,0,0
2020-06-05 14:30:00,81.6625,82.25,81.6175,82.2225,1532524,0,0
2020-06-05 15:00:00,81.99,82.45,81.90582,82.40475,531892,0,0
2020-06-05 15:30:00,82.22,82.5,82.0925,82.35748,1456084,0,0
2020-06-05 16:00:00,82.40375,82.5,82.2525,82.4875,2009208,0,0
2020-06-05 16:30:00,82.3575,82.68,82.32,82.6625,2320652,0,0
2020-06-05 17:00:00,82.48,82.78,82.365,82.5775,2747756,0,0
2020-06-05 17:30:00,82.6625,82.78,82.43,82.505,2965376,0,0
2020-06-05 18:00:00,82.5725,82.6775,82.32,82.56125,2672828,0,0
2020-06-05 18:30:00,82.51,82.895,82.32,82.8725,1949752,0,0
2020-06-05 19:00:00,82.5625,82.9375,82.46125,82.9075,7772792,0,0
2020-06-05 19:30:00,82.8675,82.9375,82.5075,82.9075,7042612,0,0
2020-06-08 13:00:00,82.59038,82.845,82.2025,82.28,3249004,0,0
2020-06-08 14:00:00,82.27875,82.53775,81.83,82.5025,3056544,0,0
2020-06-08 15:00:00,82.5075,82.7375,82.425,82.6225,1094084,0,0
2020-06-08 16:00:00,82.64,82.67745,82.45753,82.62,1328624,0,0
2020-06-08 17:00:00,82.635,83.11,82.4875,83.10905,1612644,0,0
2020-06-08 18:00:00,83.1025,83.2675,82.9875,83.1925,1920172,0,0
2020-06-08 19:00:00,83.195,83.4,83.04,83.3825,6385288,0,0
2020-06-09 13:00:00,83.0225,84.27125,83.0025,83.99875,2279352,0,0
2020-06-09 14:00:00,83.995,84.905,83.89,84.8825,2376436,0,0
2020-06-09 15:00:00,84.87,85.5525,84.8425,85.28375,2892040,0,0
2020-06-09 16:00:00,85.28,86.22,85.26788,86.09747,3807720,0,0
2020-06-09 17:00:00,86.09,86.355,85.9175,86.3125,2201544,0,0
2020-06-09 18:00:00,86.30875,86.40247,85.675,85.96182,3281064,0,0
2020-06-09 19:00:00,85.9525,86.2725,85.9075,85.955,7238704,0,0
2020-06-10 13:00:00,87.1775,87.8175,86.5225,87.63957,6343276,0,0
2020-06-10 14:00:00,87.6375,87.875,87.16625,87.46995,4290816,0,0
2020-06-10 15:00:00,87.4625,88.21,87.36,87.98,558760,0,0
2020-06-10 16:00:00,88.005,88.1,87.61,87.9325,2451532,0,0
2020-06-10 17:00:00,87.93125,88.08958,87.8125,87.9,1857164,0,0
2020-06-10 18:00:00,87.9,88.6925,87.57,88.13125,4291316,0,0
2020-06-10 19:00:00,88.1075,88.66,87.85,88.21,7617444,0,0
2020-06-11 13:00:00,87.32493,87.7,86.64925,87.2625,3781352,0,0
2020-06-11 14:00:00,87.2675,87.7625,86.85,86.9525,5772052,0,0
2020-06-11 15:00:00,86.945,87.5125,86.73375,87.07125,1653016,0,0
2020-06-11 16:00:00,87.0575,87.085,84.8675,85.09375,5067908,0,0
2020-06-11 17:00:00,85.0875,86.1775,84.96,85.69,4298072,0,0
2020-06-11 18:00:00,85.685,85.69,84.56,84.7875,4481036,0,0
2020-06-11 19:00:00,84.77,85.045,83.87,83.9475,15550744,0,0
2020-06-12 13:00:00,86.03875,86.95,85.8075,86.62875,3423424,0,0
2020-06-12 14:00:00,86.6275,86.8,84.2975,84.3075,3717680,0,0
2020-06-12 15:00:00,84.3075,85.592,83.8,85.5775,3050448,0,0
2020-06-12 16:00:00,85.5725,85.8625,84.715,85.19,6370492,0,0
2020-06-12 17:00:00,85.2,85.2325,83.55582,83.69167,3611616,0,0
2020-06-12 18:00:00,83.6775,84.825,83.58,84.7775,4104848,0,0
2020-06-12 19:00:00,84.8625,85.1,84.055,84.6325,9402384,0,0
2020-06-15 13:00:00,83.3125,84.1975,83.1475,84.04,1494468,1,0
2020-06-15 14:00:00,84.0275,84.41125,83.6025,83.8975,3030316,0,0
2020-06-15 15:00:00,83.8925,84.475,83.8625,84.39975,3039652,0,0
2020-06-15 16:00:00,84.365,85.0747,84.34,84.96,1796192,0,0
2020-06-15 17:00:00,84.965,85.265,84.75,85.22,1750948,0,0
2020-06-15 18:00:00,85.23,86.2,85.2225,86.05,3775448,0,0
2020-06-15 19:00:00,86.035,86.42,85.2975,85.7675,8851576,0,0
2020-06-16 13:00:00,87.92,88.25503,87.2875,87.95375,2197640,0,0
2020-06-16 14:00:00,87.95,88.1425,86.54,86.625,7123096,0,0
2020-06-16 15:00:00,86.5775,87.9,86.18,87.5975,4670328,0,0
2020-06-16 16:00:00,87.61,87.9925,87.2825,87.7775,1848692,0,0
2020-06-16 17:00:00,87.79,88.0,87.6825,87.8775,2331888,0,0
2020-06-16 18:00:00,87.8675,88.3,87.6975,87.83478,3612284,0,0
2020-06-16 19:00:00,87.8375,88.08,87.2925,88.05,8464392,0,0
2020-06-17 13:00:00,88.7975,88.8425,88.21,88.4625,1941416,0,0
2020-06-17 14:00:00,88.4675,88.6725,88.0825,88.5975,1308244,0,0
2020-06-17 15:00:00,88.59,88.6425,88.23905,88.6175,2358880,0,0
2020-06-17 16:00:00,88.625,88.78,88.5525,88.7025,2006848,0,0
2020-06-17 17:00:00,88.71,88.8125,88.595,88.595,1989772,0,0
2020-06-17 18:00:00,88.6025,88.7675,88.4925,88.52,2059536,0,0
2020-06-17 19:00:00,88.5,88.53,87.7725,87.85275,6376464,0,0
2020-06-18 13:00:00,87.975,88.25125,87.72,87.8225,1326304,0,0
2020-06-18 14:00:00,87.825,88.1975,87.58,88.10162,2072892,0,0
2020-06-18 15:00:00,88.125,88.3611,87.96095,88.005,1486984,0,0
2020-06-18 16:00:00,87.9875,88.1075,87.84,87.9075,1056920,0,0
2020-06-18 17:00:00,87.9075,88.07748,87.825,87.9825,1293488,0,0
2020-06-18 18:00:00,87.985,87.9925,87.4475,87.4614,1518588,0,0
2020-06-18 19:00:00,87.47,88.025,87.305,87.8975,5743012,0,0
2020-06-19 13:00:00,88.86748,89.14,88.61558,88.75355,3038444,0,1
2020-06-19 14:00:00,88.7575,88.9475,88.315,88.52757,2356768,0,0
2020-06-19 15:00:00,88.53387,88.76653,88.24,88.30625,3213828,0,0
2020-06-19 16:00:00,88.31,88.335,87.035,87.7475,5038692,0,0
2020-06-19 17:00:00,87.7525,87.755,86.7925,86.7975,2026940,0,0
2020-06-19 18:00:00,86.8025,86.9975,86.2925,86.8375,3664628,0,0
2020-06-19 19:00:00,86.845,87.58,86.545,87.3775,13027788,0,0
2020-06-22 13:00:00,87.97735,88.78,87.7975,88.75,3243576,0,0
2020-06-22 14:00:00,88.75,89.0525,88.6275,88.6325,886296,0,0
2020-06-22 15:00:00,88.6375,89.0875,88.4675,89.00875,1836284,0,0
2020-06-22 16:00:00,89.01247,89.3525,89.0112,89.28,3180680,0,0
2020-06-22 17:00:00,89.29,89.4175,89.145,89.23753,3351520,0,0
2020-06-22 18:00:00,89.24,89.77498,89.105,89.7625,3655172,0,0
2020-06-22 19:00:00,89.76,89.865,89.31,89.7225,8484720,0,0
2020-06-23 13:00:00,90.99,91.3175,90.56918,91.26265,8682776,0,0
2020-06-23 14:00:00,91.2625,91.66,91.075,91.39265,3000364,0,0
2020-06-23 15:00:00,91.3925,92.11,91.23003,92.105,3771388,0,0
2020-06-23 16:00:00,92.105,92.5,92.02753,92.40625,4212264,0,0
2020-06-23 17:00:00,92.405,93.0925,92.365,92.785,7062724,0,0
2020-06-23 18:00:00,92.78095,92.81747,92.25,92.30253,6187672,0,0
2020-06-23 19:00:00,92.213,92.3675,91.5075,91.5925,12077548,0,0
2020-06-24 13:00:00,91.25975,92.1925,90.77755,90.8675,2013048,0,0
2020-06-24 14:00:00,90.86125,91.3725,90.5725,90.74,3556040,0,0
2020-06-24 15:00:00,90.74,91.0175,89.63,89.995,5714288,0,0
2020-06-24 16:00:00,89.9925,90.81228,89.7925,90.724,4978828,0,0
2020-06-24 17:00:00,90.72,90.95563,90.0375,90.2625,4423984,0,0
2020-06-24 18:00:00,90.27,90.52375,89.82253,89.95625,4013264,0,0
2020-06-24 19:00:00,89.965,90.5925,89.875,90.0275,8914372,0,0
2020-06-25 13:00:00,90.175,90.845,89.3925,89.91028,24819300,0,0
2020-06-25 14:00:00,89.9075,90.71992,89.8625,90.38125,24387824,0,0
2020-06-25 15:00:00,90.3775,90.4925,89.9,90.33585,14831720,0,0
2020-06-25 16:00:00,90.3425,91.005,90.3425,90.6125,17084992,0,0
2020-06-25 17:00:00,90.6125,90.73498,90.31,90.49,8786800,0,0
2020-06-25 18:00:00,90.4925,90.5125,90.0,90.26517,13110840,0,0
2020-06-25 19:00:00,90.255,91.25,90.1675,91.24252,24828792,0,0
2020-06-26 13:00:00,91.1025,91.33,90.3825,90.59875,18192444,0,0
2020-06-26 14:00:00,90.5925,90.5925,88.795,89.355,34481264,0,0
2020-06-26 15:00:00,89.355,90.35,89.30287,90.22,21064748,0,0
2020-06-26 16:00:00,90.225,90.24,89.21,89.7425,19060604,0,0
2020-06-26 17:00:00,89.7375,90.0475,89.485,89.50125,15051088,0,0
2020-06-26 17:30:00,89.9625,89.975,89.065,89.1525,16141004,0,0
2020-06-26 18:30:00,89.15,89.285,88.7675,89.01247,17696324,0,0
2020-06-26 19:30:00,89.0,89.475,88.255,88.4225,27724668,0,0
2020-06-29 13:30:00,88.3125,89.38,87.82,89.3025,35821384,1,0
2020-06-29 14:30:00,89.3075,89.965,89.2,89.91745,18425532,0,0
2020-06-29 15:30:00,89.9275,90.315,89.8625,90.3025,12861500,0,0
2020-06-29 16:30:00,90.3225,90.5375,90.01,90.0375,0,0,0
2020-06-29 17:30:00,90.1125,90.445,89.98,90.12,0,0,0
2020-06-29 18:30:00,90.105,90.165,89.63,89.975,0,0,0
2020-06-29 19:30:00,90.0025,90.445,89.9325,90.445,0,0,0
2020-06-30 13:30:00,90.1375,91.27,90.09,91.055,0,0,0
2020-06-30 14:30:00,91.0325,91.465,90.9025,91.2925,0,0,0
2020-06-30 15:30:00,91.28,91.3925,91.06,91.225,0,0,0
2020-06-30 16:30:00,91.2125,91.265,90.4425,90.78,0,0,0
2020-06-30 17:30:00,90.795,90.85,90.3225,90.6475,0,0,0
2020-06-30 18:30:00,90.64,90.9575,90.52,90.9,0,0,0
2020-06-30 19:30:00,90.91,91.4575,90.8775,91.2,0,0,0
2020-07-01 13:30:00,91.4775,91.8175,91.18,91.585,0,0,0
2020-07-01 14:30:00,91.5825,91.8025,91.415,91.565,0,0,0
2020-07-01 15:30:00,91.5875,91.7175,91.5,91.5475,0,0,0
2020-07-01 16:30:00,91.56,91.8375,91.3925,91.4875,0,0,0
2020-07-01 17:30:00,91.5,91.7025,91.345,91.4075,0,0,0
2020-07-01 18:30:00,91.4175,91.5375,91.0,91.17,0,0,0
2020-07-01 19:30:00,91.1625,91.4,91.015,91.0275,0,0,0
2020-07-02 13:30:00,92.016,92.61,91.45,91.4975,0,0,0
2020-07-02 14:30:00,91.5075,92.01,91.4825,91.57,0,0,0
2020-07-02 15:30:00,91.605,92.0125,91.4875,91.9475,0,0,0
2020-07-02 16:30:00,91.955,91.9575,91.6125,91.66,0,0,0
2020-07-02 17:30:00,91.6525,91.74,91.5425,91.7375,0,0,0
2020-07-02 18:30:00,91.745,91.825,91.56,91.6425,0,0,0
2020-07-02 19:30:00,91.6575,91.7375,90.9725,91.0275,0,0,0
2020-07-06 13:30:00,92.495,93.4725,92.4725,93.295,0,0,0
2020-07-06 14:30:00,93.2575,93.8875,93.2575,93.7775,0,0,0
2020-07-06 15:30:00,93.8125,93.9325,93.3275,93.4175,0,0,0
2020-07-06 16:30:00,93.385,93.695,93.3175,93.4425,0,0,0
2020-07-06 17:30:00,93.4875,93.5425,92.9925,93.1825,1270996,0,0
2020-07-06 18:30:00,93.1775,93.3725,93.0075,93.3275,0,0,0
2020-07-06 19:30:00,93.3375,93.595,93.335,93.4625,1244924,0,0
2020-07-07 13:30:00,93.8725,94.65,93.5175,94.625,0,0,0
2020-07-07 14:30:00,94.5975,94.625,94.175,94.5125,0,0,0
2020-07-07 15:30:00,94.5425,94.61,93.8625,94.2275,0,0,0
2020-07-07 16:30:00,94.22,94.2575,93.8,94.045,0,0,0
2020-07-07 17:30:00,94.02,94.19,93.7775,93.865,0,0,0
2020-07-07 18:30:00,93.8475,93.89,93.6075,93.7375,0,0,0
2020-07-07 19:30:00,93.75,93.9375,93.0575,93.1725,0,0,0
2020-07-08 13:30:00,94.145,95.1975,94.1125,94.5725,0,0,0
2020-07-08 14:30:00,94.545,95.15,94.2025,94.62,0,0,0
2020-07-08 15:30:00,94.6125,95.0875,94.5425,94.92,0,0,0
2020-07-08 16:30:00,94.94,95.07,94.635,94.785,0,0,0
2020-07-08 17:30:00,94.7675,94.9625,94.4825,94.9275,0,0,0
2020-07-08 18:30:00,94.895,95.14,94.7275,95.08,0,0,0
2020-07-08 19:30:00,95.125,95.35,94.8825,95.3425,0,0,0
2020-07-09 13:30:00,96.265,96.265,95.6,96.0675,0,0,0
2020-07-09 14:30:00,96.0325,96.125,94.6725,95.07,0,0,0
2020-07-09 15:30:00,95.0825,95.7375,94.965,95.6025,0,0,0
2020-07-09 16:30:00,95.5775,95.875,95.53,95.7075,0,0,0
2020-07-09 17:30:00,95.75,95.785,95.29,95.67,0,0,0
2020-07-09 18:30:00,95.66,95.975,95.2425,95.2775,0,0,0
2020-07-09 19:30:00,95.2925,95.8175,95.0025,95.6825,0,0,0
2020-07-10 13:30:00,95.3525,95.7625,94.715,95.455,0,0,0
2020-07-10 14:30:00,95.4575,95.4925,95.145,95.4375,0,0,0
2020-07-10 15:30:00,95.385,95.6275,95.225,95.25,0,0,0
2020-07-10 16:30:00,95.255,95.4925,95.115,95.465,0,0,0
