datetime,open,high,low,close,volume,is_min,is_max
2025-08-11 19:10:00,227.625,227.8,227.5701,227.765,869070,0,0
2025-08-11 19:15:00,227.75999,227.94,227.59,227.82001,372122,0,0
2025-08-11 19:20:00,227.86,227.8699,227.6055,227.67999,2348148,0,0
2025-08-11 19:25:00,227.67999,227.73,227.53,227.64999,288464,0,0
2025-08-11 19:30:00,227.65919,227.69,227.3701,227.66,404591,0,0
2025-08-11 19:35:00,227.66499,227.69501,227.30099,227.39999,399704,0,0
2025-08-11 19:40:00,227.39999,227.42999,227.161,227.295,517946,0,0
2025-08-11 19:45:00,227.30499,227.35001,227.11,227.32001,523411,0,0
2025-08-11 19:50:00,227.33971,227.39999,226.6422,226.81,1108366,0,0
2025-08-11 19:55:00,226.78999,227.3,226.64,227.205,2895039,1,0
2025-08-12 13:30:00,228.005,229.92999,227.92,229.8299,3698984,0,0
2025-08-12 13:35:00,229.83,229.9399,228.39999,228.55,1178023,0,1
2025-08-12 13:40:00,228.5647,228.58,227.33,227.375,1070238,0,0
2025-08-12 13:45:00,227.36,227.86,227.24001,227.39999,879317,0,0
2025-08-12 13:50:00,227.405,228.33971,227.10001,228.33971,867081,0,0
2025-08-12 13:55:00,228.313,228.5999,227.8,227.875,948483,0,0
2025-08-12 14:00:00,227.875,227.88499,227.32001,227.60001,715598,0,0
2025-08-12 14:05:00,227.5954,228.5251,227.38,228.09,656205,0,0
2025-08-12 14:10:00,228.1116,228.84,228.02,228.75999,594196,0,0
2025-08-12 14:15:00,228.75999,229.03999,228.59,228.98,712535,0,0
2025-08-12 14:20:00,228.97,229.46001,228.9082,228.96001,665273,0,0
2025-08-12 14:25:00,228.96001,229.14,228.37,228.57001,621010,0,0
2025-08-12 14:30:00,228.59,228.84,228.45,228.53999,580553,0,0
2025-08-12 14:35:00,228.57001,228.83,228.38,228.70351,448676,0,0
2025-08-12 14:40:00,228.71741,228.78,228.35001,228.625,339528,0,0
2025-08-12 14:45:00,228.63,228.77,228.42,228.47,295533,0,0
2025-08-12 14:50:00,228.47,228.87,228.25999,228.8,1484452,0,0
2025-08-12 14:55:00,228.78999,229.72,228.70711,229.50031,697003,0,0
2025-08-12 15:00:00,229.5273,229.92509,229.4761,229.78999,2149572,0,0
2025-08-12 15:05:00,229.785,230.14999,229.6402,230.03999,1112740,0,0
2025-08-12 15:10:00,230.02,230.5865,229.8201,229.96001,1119025,0,0
2025-08-12 15:15:00,229.965,230.35001,229.81,230.03,737287,0,0
2025-08-12 15:20:00,230.05,230.06,229.58,229.591,543169,0,1
2025-08-12 15:25:00,229.59,229.86501,229.429,229.73,584961,0,0
2025-08-12 15:30:00,229.7299,229.791,228.32001,229.53999,1434237,0,0
2025-08-12 15:35:00,229.545,229.74001,229.2901,229.33501,400065,0,0
2025-08-12 15:40:00,229.34,229.48959,229.145,229.19501,334624,0,0
2025-08-12 15:45:00,229.2,229.6348,229.10001,229.6348,358927,0,0
2025-08-12 15:50:00,229.629,229.8455,229.545,229.6386,346744,0,0
2025-08-12 15:55:00,229.66,229.87,229.63,229.71001,297095,0,0
2025-08-12 16:00:00,229.71001,229.99001,229.6301,229.97,292268,0,0
2025-08-12 16:05:00,229.97549,230.11,229.88,229.91901,418753,0,0
2025-08-12 16:10:00,229.9265,230.0,229.72,229.91499,270312,0,0
