datetime,open,high,low,close,volume
2024-07-31 15:00:00,222.605,222.7899,222.3,222.535,1083454
2024-07-31 15:15:00,222.53999,223.17,222.3101,223.155,933865
2024-07-31 15:30:00,223.155,223.37,222.49001,222.58501,904908
2024-07-31 15:45:00,222.58501,222.73,222.35001,222.55,905899
2024-07-31 16:00:00,222.57001,222.7,222.36,222.61,675565
2024-07-31 16:15:00,222.61,222.62,222.17,222.37,621199
2024-07-31 16:30:00,222.38361,222.39,222.08009,222.3,563640
2024-07-31 16:45:00,222.28999,222.75999,222.25999,222.53999,762924
2024-07-31 17:00:00,222.53999,222.88,222.45,222.735,863847
2024-07-31 17:15:00,222.73,223.00999,222.52,222.60001,1293827
2024-07-31 17:30:00,222.595,222.60001,221.31,221.75,1164226
2024-07-31 17:45:00,221.73,222.45,221.67,222.17,723725
2024-07-31 18:00:00,222.19,222.78,221.92,222.66,994339
2024-07-31 18:15:00,222.65739,223.00999,222.65739,222.92999,627230
2024-07-31 18:30:00,222.94,223.37,222.34,223.17999,1059849
2024-07-31 18:45:00,223.17,223.30009,222.53999,222.66499,874564
2024-07-31 19:00:00,222.66499,223.03,222.42,222.58,1177188
2024-07-31 19:15:00,222.59,223.0199,221.285,221.61011,1839677
2024-07-31 19:30:00,221.64,223.00929,221.37,222.855,1665850
2024-07-31 19:45:00,222.84,222.98,221.66,221.99001,3952670
2024-08-01 13:30:00,224.37,224.4505,222.56,223.05,4110658
2024-08-01 13:45:00,223.08,224.3,223.08,224.28,2410042
2024-08-01 14:00:00,224.25999,224.3,222.95,223.155,2140717
2024-08-01 14:15:00,223.17,223.39,221.25999,221.28,1850652
2024-08-01 14:30:00,221.27969,221.73,220.61,221.10001,2230729
2024-08-01 14:45:00,221.08,221.42999,220.3503,220.985,1444372
2024-08-01 15:00:00,221.0,221.175,220.12,220.42,1449689
2024-08-01 15:15:00,220.42999,220.78999,220.12,220.53999,1184871
2024-08-01 15:30:00,220.56,220.85001,219.28,219.33,1388797
2024-08-01 15:45:00,219.34,220.12,219.2101,219.8,1019923
2024-08-01 16:00:00,219.7901,220.0699,219.64999,219.9142,894192
2024-08-01 16:15:00,219.89999,220.17,219.02,219.32001,1175019
2024-08-01 16:30:00,219.34,219.5,218.53999,218.769,1095308
